Model,Metric,Downtrend,Neutral,Uptrend
,Rebalance Bought WETH,0.085528 ETH,0.152653 ETH,0.152494 ETH
V5,Runs,100,100,100
,Opened Longs,5006.53,5006.38,5014.07
,Opened Shorts,4993.47,4993.62,4985.93
,Open Fail: Liquidity,0.00,0.00,0.00
,Open Fail: No Offset,0.00,0.00,0.00
,Close Success,10000.00,10000.00,10000.00
,Long Trade PnL,-2,566.50 USDC,4.20 USDC,2,956.50 USDC
,Short Trade PnL,2,397.50 USDC,-125.40 USDC,-3,014.70 USDC
,Pool Trade PnL,169.00 USDC,121.20 USDC,58.20 USDC
,Hedge PnL,0.00 USDC,0.00 USDC,0.00 USDC
,Max Utilization,28.19%,17.14%,12.07%
,Start USDC,0.00 USDC,0.00 USDC,0.00 USDC
,Start WETH,100.000000 ETH,100.000000 ETH,100.000000 ETH
,Start ETH Price,3,000.00 USDC,3,000.00 USDC,3,000.00 USDC
,Start Pool Value,300,000.00 USDC,300,000.00 USDC,300,000.00 USDC
,End USDC,50,084.50 USDC,50,060.60 USDC,50,029.10 USDC
,End WETH,75.763949 ETH,83.369027 ETH,88.106202 ETH
,End ETH Price,1,522.04 USDC,3,043.51 USDC,6,080.66 USDC
,End Pool Value,174,783.24 USDC,302,962.83 USDC,573,332.33 USDC
,Hold End Value,152,204.11 USDC,304,351.64 USDC,608,066.56 USDC
,Pool vs Hold,22,579.13 USDC,-1,388.81 USDC,-34,734.22 USDC
,Rebalance Success,100.00%,46.00%,0.00%
,Rebalance Needed,24.236050 ETH,16.630972 ETH,11.893797 ETH
,Rebalance USDC Spent,36,886.58 USDC,48,519.45 USDC,50,029.10 USDC
,Rebalance Bought WETH,24.236050 ETH,15.942644 ETH,8.227739 ETH
