file,generatedAt,result.averages.avgCloseAttempts,result.averages.avgCloseSuccess,result.averages.avgEndEquity,result.averages.avgEndEquityCore,result.averages.avgEndPrice,result.averages.avgEndUSDC,result.averages.avgEndWETH,result.averages.avgHedgeRealizedPnlUSDC,result.averages.avgHedgeTotalPnlUSDC,result.averages.avgHedgeUnrealizedPnlUSDC,result.averages.avgHoldOnlyEnd,result.averages.avgLongTradePnl,result.averages.avgMaxUtilizationBps,result.averages.avgOpenedLongs,result.averages.avgOpenedShorts,result.averages.avgOpenFailInsufficientLiquidity,result.averages.avgOpenFailNoOffset,result.averages.avgOpenFailOther,result.averages.avgPoolTradePnl,result.averages.avgRebalanceBoughtWETH,result.averages.avgRebalanceNeededWETH,result.averages.avgRebalancePostUSDC,result.averages.avgRebalancePostValueUSD,result.averages.avgRebalancePostValueUSDCore,result.averages.avgRebalancePostWETH,result.averages.avgRebalanceRemainingMissingWETH,result.averages.avgRebalanceTargetWETH,result.averages.avgRebalanceUSDCSpent,result.averages.avgShortTradePnl,result.averages.avgStartEquity,result.averages.avgStartPrice,result.averages.avgStartUSDC,result.averages.avgStartWETH,result.averages.bottomLine.deltaUSDC,result.averages.bottomLine.deltaWETH,result.averages.bottomLine.endPoolValueUSD,result.averages.bottomLine.endUSDC,result.averages.bottomLine.endWETH,result.averages.bottomLine.poolVsHoldUSDC,result.averages.bottomLine.postRebalanceDeltaUSDC,result.averages.bottomLine.postRebalanceDeltaWETH,result.averages.bottomLine.postRebalanceUSDC,result.averages.bottomLine.postRebalanceValueUSD,result.averages.bottomLine.postRebalanceVsHoldUSDC,result.averages.bottomLine.postRebalanceWETH,result.averages.bottomLine.rebalanceAction,result.averages.bottomLine.rebalanceBoughtWETH,result.averages.bottomLine.rebalanceSoldWETH,result.averages.bottomLine.rebalanceUSDCReceived,result.averages.bottomLine.rebalanceUSDCSpent,result.averages.rebalanceSuccessRate,result.averages.runs,result.bottomLine.deltaUSDC,result.bottomLine.deltaWETH,result.bottomLine.endPoolValueUSD,result.bottomLine.endUSDC,result.bottomLine.endWETH,result.bottomLine.poolVsHoldUSDC,result.bottomLine.postRebalanceDeltaUSDC,result.bottomLine.postRebalanceDeltaWETH,result.bottomLine.postRebalanceUSDC,result.bottomLine.postRebalanceValueUSD,result.bottomLine.postRebalanceVsHoldUSDC,result.bottomLine.postRebalanceWETH,result.bottomLine.rebalanceAction,result.bottomLine.rebalanceBoughtWETH,result.bottomLine.rebalanceFullyReachedTarget,result.bottomLine.rebalanceRemainingMissingWETH,result.bottomLine.rebalanceSoldWETH,result.bottomLine.rebalanceUSDCReceived,result.bottomLine.rebalanceUSDCSpent,result.model,result.pathLength,result.regime,result.runsPerScenario,result.scenarioKey,result.scenarioLabel,result.scenarioType,result.summary.closeAttempts,result.summary.closeSuccess,result.summary.endEquity,result.summary.endEquityCore,result.summary.endPrice,result.summary.endUSDC,result.summary.endWETH,result.summary.hedgeRealizedPnlUSDC,result.summary.hedgeTotalPnlUSDC,result.summary.hedgeUnrealizedPnlUSDC,result.summary.holdOnlyEnd,result.summary.longTradePnl,result.summary.maxUtilizationBps,result.summary.openedLongs,result.summary.openedShorts,result.summary.openFailInsufficientLiquidity,result.summary.openFailNoOffset,result.summary.openFailOther,result.summary.poolTradePnl,result.summary.rebalanceBoughtWETH,result.summary.rebalanceFullyReachedTarget,result.summary.rebalanceNeededWETH,result.summary.rebalancePostUSDC,result.summary.rebalancePostValueUSD,result.summary.rebalancePostValueUSDCore,result.summary.rebalancePostWETH,result.summary.rebalanceRemainingMissingWETH,result.summary.rebalanceTargetWETH,result.summary.rebalanceUSDCSpent,result.summary.shortTradePnl,result.summary.startEquity,result.summary.startPrice,result.summary.startUSDC,result.summary.startWETH,result.targetTrades,result.title,scenarioName
model-v4-average-100-uptrend.json,2026-03-12T09:17:09.445Z,3614614.57,8439.53,584405950124,,5857290000000000000000,0,99772879687859517102,,,,585729000000,11274000000,1200,5964.12,4035.88,0,0,0,-16690100000,0,240319329611426037,0,584405950124,,99772879687859517102,240319329611426037,100000000000000000000,0,5416100000,300000000000,3000000000000000000000,0,100000000000000000000,0,-227120312140482898,584405950124,0,99772879687859517102,-1323049876,0,-227120312140482898,0,584405950124,-1323049876,99772879687859517102,NONE,0,0,0,0,11,100,,,,,,,,,,,,,,,,,,,,v4,,,100,uptrend,Uptrend (target ~2x),average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v4-average-100-uptrend
model-v4-random-10000-downtrend.json,2026-02-20T11:58:12.163Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50970000000,-22202358750908129614,170233784034,50970000000,77797641249091870386,16933784034,16933784034,0,16933784034,170233784034,16933784034,100000000000000000000,BUY,22202358750908129614,true,0,0,0,34036215966,v4,3000,downtrend,,,,random10000,40176,10000,170233784034,,1533000000000000000000,50970000000,77797641249091870386,,,,153300000000,-3670000000,2473,6021,3979,0,0,0,1940000000,22202358750908129614,true,22202358750908129614,16933784034,170233784034,,100000000000000000000,0,100000000000000000000,34036215966,1730000000,300000000000,3000000000000000000000,0,100000000000000000000,10000,Model V4: Downtrend 10000 Trades (Long+Short Offset),model-v4-random-10000-downtrend
model-v4-random-10000-neutral.json,2026-02-20T11:58:13.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50080000000,-16617082409132677580,300228752772,50080000000,83382917590867322420,228752772,228752772,0,228752772,300228752772,228752772,100000000000000000000,BUY,16617082409132677580,true,0,0,0,49851247228,v4,3000,neutral,,,,random10000,47605,10000,300228752772,,3000000000000000000000,50080000000,83382917590867322420,,,,300000000000,-260000000,1662,5878,4122,0,0,0,160000000,16617082409132677580,true,16617082409132677580,228752772,300228752772,,100000000000000000000,0,100000000000000000000,49851247228,100000000,300000000000,3000000000000000000000,0,100000000000000000000,10000,Model V4: Neutral 10000 Trades (Long+Short Offset),model-v4-random-10000-neutral
model-v4-random-10000-uptrend.json,2026-02-20T11:58:11.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49350000000,-11579763424751645873,589862906184,49350000000,88420236575248354127,-21437093816,0,-3506804157616033245,0,589862906184,-21437093816,96493195842383966755,BUY,8072959267135612628,false,3506804157616033245,0,0,49350000000,v4,3000,uptrend,,,,random10000,41964,10000,589862906184,,6113000000000000000000,49350000000,88420236575248354127,,,,611300000000,1530000000,1005,5963,4037,0,0,0,-1300000000,8072959267135612628,false,11579763424751645873,0,589862906184,,96493195842383966755,3506804157616033245,100000000000000000000,49350000000,-230000000,300000000000,3000000000000000000000,0,100000000000000000000,10000,Model V4: Uptrend 10000 Trades (Long+Short Offset),model-v4-random-10000-uptrend
model-v4-verbose-10-trades.json,2026-03-12T08:54:58.076Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-5,999999999999,0,99999999999999999995,-1,0,-5,0,999999999999,-1,99999999999999999995,NONE,0,false,5,0,0,0,v4,,,,,,verbose10,50,15,999999999999,,10000000000000000000000,0,99999999999999999995,,,,1000000000000,0,0,10,10,0,0,0,-50000000,0,false,5,0,999999999999,,99999999999999999995,5,100000000000000000000,0,50000000,300000000000,3000000000000000000000,0,100000000000000000000,,,model-v4-verbose-10-trades
model-v5-average-100-downtrend.json,2026-02-20T16:08:05.099Z,41812.16,10000,173134127601,163520522872,1497410000000000000000,50076500000,75759922461527229087,9613604729,9613604729,0,149741000000,-2593500000,2820,5006.53,4993.47,0,0,0,153000000,24240077538472770912,24240077538472770912,13779522872,173134127601,163520522872,100000000000000000000,0,100000000000000000000,36296977127,2440500000,300000000000,3000000000000000000000,0,100000000000000000000,50076500000,-24240077538472770913,173134127601,50076500000,75759922461527229087,23393127601,13779522872,0,13779522872,173134127601,23393127601,100000000000000000000,BUY,24240077538472770913,0,0,36296977128,100,100,,,,,,,,,,,,,,,,,,,,v5,,,100,downtrend,Downtrend (target ~0.5x),average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v5-average-100-downtrend
model-v5-average-100-neutral.json,2026-02-20T16:08:05.100Z,48321.14,10000,300702149099,301292190817,3013400000000000000000,50060100000,83368729688840011327,-590041717,-590041717,0,301340000000,-46800000,1721,5006.38,4993.62,0,0,0,120200000,16036294650072948132,16631270311159988672,1744377633,300702149099,301292190817,99405024338912959459,594975661087040540,100000000000000000000,48315722366,-73400000,300000000000,3000000000000000000000,0,100000000000000000000,50060100000,-16631270311159988673,300702149099,50060100000,83368729688840011327,-637850901,1744377633,-594975661087040541,1744377633,300702149099,-637850901,99405024338912959459,BUY,16036294650072948132,0,0,48315722367,49,100,,,,,,,,,,,,,,,,,,,,v5,,,100,neutral,Neutral,average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v5-average-100-neutral
model-v5-average-100-uptrend.json,2026-02-20T16:08:05.097Z,41865.62,10000,566055908520,578256509491,5995190000000000000000,50032800000,88107116196509910811,-12200600970,-12200600970,0,599519000000,2884300000,1215,5014.07,4985.93,0,0,0,65600000,8347117741688843102,11892883803490089188,0,566055908520,578256509491,96454233938198753913,3545766061801246086,100000000000000000000,50032800000,-2949900000,300000000000,3000000000000000000000,0,100000000000000000000,50032800000,-11892883803490089189,566055908520,50032800000,88107116196509910811,-33463091480,0,-3545766061801246087,0,566055908520,-33463091480,96454233938198753913,BUY,8347117741688843102,0,0,50032800000,0,100,,,,,,,,,,,,,,,,,,,,v5,,,100,uptrend,Uptrend (target ~2x),average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v5-average-100-uptrend
model-v5-random-10000-downtrend.json,2026-02-20T16:07:46.633Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49630000000,-24594460919951283743,176761599100,49630000000,75405539080048716257,29061599100,13303981221,0,13303981221,176761599100,29061599100,100000000000000000000,BUY,24594460919951283743,true,0,0,0,36326018779,v5,3000,downtrend,,,,random10000,41950,10000,176761599100,161003981221,1477000000000000000000,49630000000,75405539080048716257,15757617879,15757617879,0,147700000000,-2840000000,3686,4966,5034,0,0,0,-740000000,24594460919951283743,true,24594460919951283743,13303981221,176761599100,161003981221,100000000000000000000,0,100000000000000000000,36326018779,3580000000,300000000000,3000000000000000000000,0,100000000000000000000,10000,Model V5: Downtrend 10000 Trades (Short-Hedged Offset),model-v5-random-10000-downtrend
model-v5-random-10000-neutral.json,2026-02-20T16:07:47.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49570000000,-17521999586085466235,289180430319,49570000000,82478000413914533765,-8819569681,0,-887771398166003148,0,289180430319,-8819569681,99112228601833996852,BUY,16634228187919463087,false,887771398166003148,0,0,49570000000,v5,3000,neutral,,,,random10000,47757,10000,289180430319,295354441233,2980000000000000000000,49570000000,82478000413914533765,-6174010914,-6174010914,0,298000000000,2670000000,1914,5055,4945,0,0,0,-860000000,16634228187919463087,false,17521999586085466235,0,289180430319,295354441233,99112228601833996852,887771398166003148,100000000000000000000,49570000000,-1810000000,300000000000,3000000000000000000000,0,100000000000000000000,10000,Model V5: Neutral 10000 Trades (Short-Hedged Offset),model-v5-random-10000-neutral
model-v5-random-10000-uptrend.json,2026-02-20T16:07:45.904Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49660000000,-11410771896562741537,560571839728,49660000000,88589228103437258463,-30728160272,0,-3012327790356078253,0,560571839728,-30728160272,96987672209643921747,BUY,8398444106206663284,false,3012327790356078253,0,0,49660000000,v5,3000,uptrend,,,,random10000,41882,10000,560571839728,573488105775,5913000000000000000000,49660000000,88589228103437258463,-12916266047,-12916266047,0,591300000000,3410000000,1014,4993,5007,0,0,0,-680000000,8398444106206663284,false,11410771896562741537,0,560571839728,573488105775,96987672209643921747,3012327790356078253,100000000000000000000,49660000000,-2730000000,300000000000,3000000000000000000000,0,100000000000000000000,10000,Model V5: Uptrend 10000 Trades (Short-Hedged Offset),model-v5-random-10000-uptrend
model-v5-verbose-10-trades.json,2026-02-20T16:07:41.517Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000,-33381207444543010,999879671373,100000000,99966618792555456990,-120328627,0,-23381207444543010,0,999879671373,-120328627,99976618792555456990,BUY,10000000000000000,false,23381207444543010,0,0,100000000,v5,,,,,,verbose10,20,20,999879671373,999766187925,10000000000000000000000,100000000,99966618792555456990,113483448,113483448,0,1000000000000,0,0,10,10,0,0,0,0,10000000000000000,false,33381207444543010,0,999879671373,999766187925,99976618792555456990,23381207444543010,100000000000000000000,100000000,0,300000000000,3000000000000000000000,0,100000000000000000000,,,model-v5-verbose-10-trades
