"model","scenario","runs","avgOpenedLongs","avgOpenedShorts","avgOpenFailInsufficientLiquidity","avgOpenFailNoOffset","avgOpenFailOther","avgCloseAttempts","avgCloseSuccess","avgLongTradePnlUSDC","avgShortTradePnlUSDC","avgPoolTradePnlUSDC","avgHedgeTotalPnlUSDC","avgMaxUtilizationPct","avgStartUSDC","avgEndUSDC","avgStartWETH","avgEndWETH","avgStartPriceUSDCPerETH","avgEndPriceUSDCPerETH","avgStartPoolValueUSD","avgEndPoolValueUSD","avgHoldOnlyEndValueUSD","avgPoolVsHoldUSD","rebalanceSuccessRatePct","avgRebalanceNeededWETH","avgRebalanceUSDCSpent","avgRebalanceBoughtWETH","avgRebalancePostWETH","avgRebalancePostUSDC","avgRebalanceRemainingMissingWETH","bottomLineEndWETH","bottomLineEndUSDC","bottomLinePostRebalanceWETH","bottomLinePostRebalanceUSDC","bottomLinePostRebalanceVsHoldUSD"
"V1","downtrend","100","9996.20","0.00","3.80","0.00","0.00","42053.15","9996.20","-4,944.400000","0.000000","4,944.400000","0.000000","86.34%","0.000000","52,453.200000","100.000000000000000000","77.052030293034789338","3,000.000000000000000000","1,522.216007070707070706","300,000.000000","169,745.277784","152,221.600706","17,523.677078","100.00","22.947969706965210661","34,929.522922","22.947969706965210661","100.000000000000000000","17,523.677077","0.000000000000000000","77.052030293034789338","52,453.200000","100.000000000000000000","17,523.677077","17,523.677077"
"V1","neutral","100","10000.00","0.00","0.00","0.00","0.00","48751.60","10000.00","263.400000","0.000000","-263.400000","0.000000","56.80%","0.000000","49,868.300000","100.000000000000000000","83.399056126745999115","3,000.000000000000000000","3,043.659343434343434342","300,000.000000","303,708.960551","304,365.934342","-656.973791","49.00","16.600943873254000884","48,129.338036","15.813563621578755919","99.212619748324755034","1,738.961963","0.787380251675244965","83.399056126745999115","49,868.300000","99.212619748324755034","1,738.961963","-656.973791"
"V1","uptrend","100","10000.00","0.00","0.00","0.00","0.00","42162.13","10000.00","6,115.800000","0.000000","-6,115.800000","0.000000","38.44%","0.000000","46,942.100000","100.000000000000000000","87.445472331288880273","3,000.000000000000000000","6,082.768717171717171716","300,000.000000","578,854.570435","608,276.871716","-29,422.301281","0.00","12.554527668711119726","46,942.100000","7.717374835059560963","95.162847166348441237","0.000000","4.837152833651558762","87.445472331288880273","46,942.100000","95.162847166348441237","0.000000","-29,422.301281"
"V2","downtrend","100","9999.63","0.00","0.37","0.00","0.00","42068.66","9999.63","-4,943.100000","0.000000","4,943.100000","0.000000","73.04%","0.000000","5,826.300000","100.000000000000000000","99.716385102010417071","3,000.000000000000000000","1,522.220992929292929292","300,000.000000","157,616.226681","152,222.099292","5,394.127389","100.00","0.283614897989582928","432.172611","0.283614897989582928","100.000000000000000000","5,394.127388","0.000000000000000000","99.716385102010417071","5,826.300000","100.000000000000000000","5,394.127388","5,394.127388"
"V2","neutral","100","10000.00","0.00","0.00","0.00","0.00","48751.60","10000.00","263.400000","0.000000","-263.400000","0.000000","52.19%","0.000000","2,469.300000","100.000000000000000000","99.181979311926100801","3,000.000000000000000000","3,043.659343434343434342","300,000.000000","304,344.270423","304,365.934342","-21.663919","53.00","0.818020688073899198","1,662.295490","0.546100105946743550","99.728079417872844352","807.004509","0.271920582127155647","99.181979311926100801","2,469.300000","99.728079417872844352","807.004509","-21.663919"
"V2","uptrend","100","10000.00","0.00","0.00","0.00","0.00","42162.13","10000.00","6,115.800000","0.000000","-6,115.800000","0.000000","37.55%","0.000000","758.300000","100.000000000000000000","98.415680629830425179","3,000.000000000000000000","6,082.768717171717171716","300,000.000000","599,398.129195","608,276.871716","-8,878.742521","0.00","1.584319370169574820","758.300000","0.124671160954056334","98.540351790784481513","0.000000","1.459648209215518486","98.415680629830425179","758.300000","98.540351790784481513","0.000000","-8,878.742521"
"V3","downtrend","100","9999.76","0.00","0.24","0.00","0.00","42069.18","9999.76","-4,943.600000","0.000000","4,943.600000","0.000000","71.18%","0.000000","0.000000","100.000000000000000000","102.609170987980428563","3,000.000000000000000000","1,522.220992929292929292","300,000.000000","156,193.300157","152,222.099292","3,971.200865","100.00","0.000000000000000000","0.000000","0.000000000000000000","102.609170987980428563","0.000000","0.000000000000000000","102.609170987980428563","0.000000","102.609170987980428563","0.000000","3,971.200865"
"V3","neutral","100","10000.00","0.00","0.00","0.00","0.00","48751.60","10000.00","263.400000","0.000000","-263.400000","0.000000","51.77%","0.000000","0.000000","100.000000000000000000","100.099076745964675742","3,000.000000000000000000","3,043.659343434343434342","300,000.000000","304,666.250422","304,365.934342","300.316080","60.00","0.231864072652157419","0.000000","0.000000000000000000","100.099076745964675742","0.000000","0.231864072652157419","100.099076745964675742","0.000000","100.099076745964675742","0.000000","300.316080"
"V3","uptrend","100","10000.00","0.00","0.00","0.00","0.00","42162.13","10000.00","6,115.800000","0.000000","-6,115.800000","0.000000","37.46%","0.000000","0.000000","100.000000000000000000","98.687345142210721736","3,000.000000000000000000","6,082.768717171717171716","300,000.000000","600,292.278090","608,276.871716","-7,984.593626","1.00","1.313627089272116868","0.000000","0.000000000000000000","98.687345142210721736","0.000000","1.313627089272116868","98.687345142210721736","0.000000","98.687345142210721736","0.000000","-7,984.593626"
"V4","downtrend","100","6221.70","3778.30","0.00","0.00","0.00","25734.20","10000.00","-1,714.832994","1,451.028057","263.804936","0.000000","18.18%","0.000000","1,007.919000","100.000000000000000000","100.155243468222955755","3,000.000000000000000000","1,505.726077683799999999","300,000.000000","151,814.177169","150,572.607768","1,241.569401","99.00","0.088527635737156581","128.851508","0.085528737942583954","100.240772206165539709","879.067492","0.002998897794572627","100.155243468222955755","1,007.919000","100.240772206165539709","879.067492","1,241.569401"
